name,batch_name,chunk_count,num_creators,target_collaboration_id,code,message,created_at,end_time
All_202606_02k-04k_01,All_202606_02k-04k,1,21,7661970332203550472,0,Success,,2101132799
All_202606_04k-06k_01,All_202606_04k-06k,1,10,7661970508745393940,0,Success,,2101132799
All_202606_06k-08k_01,All_202606_06k-08k,1,12,7661970369088603924,0,Success,,2101132799
All_202606_08k-10k_01,All_202606_08k-10k,1,7,7661970518602401552,0,Success,,2101132799
All_202606_10k-12k_01,All_202606_10k-12k,1,2,7661970495009081108,0,Success,,2101132799
Health_202606_02k-04k_01,Health_202606_02k-04k,1,12,7661970334190913301,0,Success,,2101132799
Health_202606_04k-06k_01,Health_202606_04k-06k,1,10,7661970532174645000,0,Success,,2101132799
Health_202606_06k-08k_01,Health_202606_06k-08k,1,11,7661970561066288913,0,Success,,2101132799
Health_202606_08k-10k_01,Health_202606_08k-10k,1,9,7661970554702726929,0,Success,,2101132799
Health_202606_10k-12k_01,Health_202606_10k-12k,1,6,7661970538965059346,0,Success,,2101132799
Health_202606_00k-02k_01,Health_202606_00k-02k,1,50,7661985753756845845,0,Success,,2101132799
Health_202606_00k-02k_02,Health_202606_00k-02k,2,50,7661985586839930632,0,Success,,2101132799
All_202606_00k-02k_01,All_202606_00k-02k,1,50,7661987718047549205,0,Success,,2101132799
All_202606_00k-02k_02,All_202606_00k-02k,2,50,7661987853107169045,0,Success,,2101132799
Health_202606_00k-02k_03,Health_202606_00k-02k,3,50,7661988029667919636,0,Success,,2101132799
Health_202606_00k-02k_04,Health_202606_00k-02k,4,50,7661987948536481543,0,Success,,2101132799
Health_202606_00k-02k_05,Health_202606_00k-02k,5,50,7661988068908009233,0,Success,,2101132799
Health_202606_00k-02k_06,Health_202606_00k-02k,6,50,7661987768017159953,0,Success,,2101132799
Health_202606_00k-02k_07,Health_202606_00k-02k,7,50,7661988038513198864,0,Success,,2101132799
Health_202606_00k-02k_08,Health_202606_00k-02k,8,50,7662035345951655698,0,Success,,2101132799
Health_202606_00k-02k_09,Health_202606_00k-02k,9,50,7662035225824642836,0,Success,,2101132799
Health_202606_00k-02k_10,Health_202606_00k-02k,10,50,7662035347614254856,0,Success,,2101132799
Health_202606_00k-02k_11,Health_202606_00k-02k,11,50,7662035293642376980,0,Success,,2101132799
Health_202606_00k-02k_12,Health_202606_00k-02k,12,50,7662035129384797973,0,Success,,2101132799
Health_202606_00k-02k_13,Health_202606_00k-02k,13,50,7662035495493699335,0,Success,,2101132799
Health_202606_00k-02k_14,Health_202606_00k-02k,14,50,7662035008370984705,0,Success,,2101132799
